"country_id","count"
109,"1"
108,"2"
107,"4"
106,"1"
105,"6"
104,"7"
103,"35"
102,"8"
101,"3"
100,"6"
99,"1"
98,"1"
97,"15"
96,"1"
95,"1"
94,"3"
93,"3"
92,"10"
91,"3"
90,"1"
89,"2"
88,"1"
87,"5"
86,"5"
85,"11"
84,"1"
83,"1"
82,"5"
81,"1"
80,"28"
79,"1"
78,"2"
77,"2"
76,"8"
75,"20"
74,"4"
73,"3"
72,"5"
71,"2"
70,"1"
69,"13"
68,"1"
67,"5"
66,"1"
65,"1"
64,"2"
63,"3"
62,"3"
61,"1"
60,"30"
59,"3"
58,"1"
57,"1"
56,"1"
55,"1"
54,"2"
53,"1"
52,"2"
51,"2"
50,"31"
49,"7"
48,"4"
47,"1"
46,"8"
45,"14"
44,"60"
43,"1"
42,"1"
41,"1"
40,"1"
39,"2"
38,"7"
37,"1"
36,"2"
35,"1"
34,"4"
33,"1"
32,"1"
31,"1"
30,"1"
29,"6"
28,"3"
27,"3"
26,"1"
25,"2"
24,"6"
23,"53"
22,"3"
21,"1"
20,"7"
19,"2"
18,"2"
17,"2"
16,"1"
15,"28"
14,"2"
13,"2"
12,"3"
11,"1"
10,"2"
9,"3"
8,"1"
7,"1"
6,"13"
5,"1"
4,"2"
3,"1"
2,"3"
1,"1"
